ABUSE CARE FACILITY ATM
AGG ATM
AGG A CHILD ATM
AGG COMP TAMPERING ATM
AGG CRIM SEX  ABUSE ATM
AGG CRIM SEX  FAM ATM
AGG DANG WEAPON ATM
AGG DOM DANG WEAPON ATM
AGG DOM FIREARM ATM
AGG DOM HANDGUN ATM
AGG DOM KNIFE  INST ATM
AGG DOM SERIOUS  ATM
AGG HANDGUN ATM
AGG HANDS MINOR INJ ATM
AGG HANDS NO INJ ATM
AGG HANDS SER INJ ATM
AGG IDEN.THEFT ATM
AGG KNIFE ATM
AGG OTHER FIREARM ATM
AGG PRO EMP FIREARM ATM
AGG PRO EMP KNIFE ATM
AGG PRO EMP WEAPON ATM
AGG PRO SERIOUS INJ ATM
AGG SENIOR CITIZEN ATM
AGG SEX ASSLT CHILD ATM
AGG VEH. HIJACKING ATM
AIDING ARR.ESCAPE ATM
ALTER PRESCRIPTION ATM
ANIMAL ABUSE ATM
ANIMAL FIGHTING ATM
ARMED  INFLUENCE ATM
ARMED DANG WEAPON ATM
ARMED FIREARM ATM
ARMED HANDGUN ATM
ARMED KNIFE ATM
ARSON BY FIRE ATM
ARSON THREAT ATM
ASSAULT SIMPLE ATM
ATT AGG KNIFE ATM
ATT AGG OTHER ATM
ATT AGG SEX ABUSE ATM
ATT ARMED FIREARM ATM
ATT ARMED-HANDGUN ATM
ATT ARSON ATM
ATT AUTOMOBILE ATM
ATT CRIM SEX  ABUSE ATM
"ATT CYCLE, SCOOTER ATM"
ATT FIN IDEN THEFT ATM
ATT FORCIBLE ENTRY ATM
ATT HANDGUN ATM
ATT NON-AGG ATM
ATT POSS CANNABIS ATM
ATT POSS NARCOTICS ATM
ATT STRONGARM ATM
ATT THEFT ATM
"ATT TRUCK, BUS ATM"
BATTERY SIMPLE ATM
BIGAMY ATM
BOARD PLANE WEAPON ATM
BOGUS CHECK ATM
BOMB THREAT ATM
CANNABIS PLANT ATM
CHILD ABANDONMENT ATM
CHILD ABDUCTION ATM
CHILD ABUSE ATM
CHILD PORNOGRAPHY ATM
COMMERCIAL SEX ACTS ATM
COMPELLING ORG MEMB ATM
COMPUTER FRAUD ATM
CONCEALED LICENSE ATM
CONT MAINT RECORD ATM
CONTAINER THEFT ATM
CONTR CRIM  JUVENILE ATM
CONTR DELINQ CHILD ATM
COUNTERF CHECK ATM
COUNTERF DOCUMENT ATM
CR. DRUG CONSPIRACY ATM
CREDIT CARD FRAUD ATM
CRIM DAMAGE PROP ATM
CRIM DAMAGE VEHICLE ATM
CRIM DEFACEMENT ATM
CRIM SEX  ABUSE ATM
CRIM SEX ABUSE FAM ATM
CRIM SEX ASSAULT  ATM
CRIM TRANS OF HIV ATM
CRIM TRESPASS  ATM
CRIM TRESPASS LAND ATM
CYBERSTALKING ATM
DECEPTIVE PRACTICES ATM
DEFACE IDENT FIREARM ATM
DEL CONT PERSON <18 ATM
DELIVER BARBITUATES ATM
DELIVER COCAINE ATM
DOM. BATTERY SIMPLE ATM
EAVESDROPPING ATM
EDUC INTIMIDAITON ATM
EMBEZZLEMENT ATM
ENDANG LIFE CHILD ATM
ESCAPE ATM
EXTORTION ATM
FALSE FIRE ALARM ATM
FALSE POLICE REPORT ATM
FALSE TRP ATM
FIN EXPLOIT-ELDERLY ATM
FIN THEFT <=$300 ATM
FIN THEFT >$300 ATM
FIRST DEGREE MURDER ATM
FOID - REVOCATION ATM
FORCIBLE DETENTION ATM
FORCIBLE ENTRY ATM
FORFEIT PROPERTY ATM
FORGERY ATM
FOUND PASSPORT ATM
FOUND S. NARCOTICS ATM
FRAUD GAME ATM
GAME DEVICE ATM
GAME/CARDS ATM
GAME/DICE ATM
GUN OFF DUTY CHANGE ATM
GUN OFF DUTY REG ATM
GUN OFF NOTIFICATION ATM
GUN OFF REGISTRATION ATM
HARASSMENT BY ELECT ATM
HARASSMENT BY TEL. ATM
HARBOR RUNAWAY ATM
HAZARDOUS MAT VIO ATM
HOME INVASION ATM
ILLEGAL CASH CARD ATM
ILLEGAL CONS MINOR ATM
ILLEGAL POSS CARD ATM
ILLEGAL POSS MINOR ATM
IMPERSONATION ATM
INDECENT SOLICIT ATM
INST. VANDALISM ATM
INSURANCE FRAUD ATM
INTERFERE EDUCATION ATM
INTERFERE J PROCESS ATM
INTIMIDATION ATM
INTOX. COMPOUNDS ATM
KIDNAPPING ATM
LIBRARY THEFT ATM
LICENSE VIOLATION ATM
LIQ. LIC. VIOLATION ATM
LOST PASSPORT ATM
MANU AMPHETAMINES ATM
MANU CANNABIS <=10G  ATM
MANU CANNABIS >10G ATM
MANU CRACK ATM
MANU HALLUCINOGEN ATM
MANU HEROIN (WHITE) ATM
MANU HEROIN(BLACK) ATM
MANU HEROIN(BRN) ATM
MANU LOOK DRUG ATM
MANU METHAMPHET ATM
MANU PCP ATM
MANU SYNTH DRUGS ATM
MANU SYNTH MARIJ ATM
MINOR MISREPR. AGE ATM
MOB ACTION ATM
MONEY LAUNDERING ATM
